TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,027000,27 AO ,29,16,13,0,0,0,29,16,13
C0116,28,000,000000,ANDHRA PRADESH,027001, Ao,22,14,8,0,0,0,22,14,8
C0116,28,000,000000,ANDHRA PRADESH,027003, Chungli,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,027999,27 Others,4,0,4,0,0,0,4,0,4
C0116,28,000,000000,ANDHRA PRADESH,028000,28 ARABIC/ARBI ,726,414,312,0,0,0,726,414,312
C0116,28,000,000000,ANDHRA PRADESH,028001, Arabic/Arbi,726,414,312,0,0,0,726,414,312
C0116,28,000,000000,ANDHRA PRADESH,030000,30 BHILI/BHILODI ,4412,2183,2229,0,0,0,4412,2183,2229
C0116,28,000,000000,ANDHRA PRADESH,030002, Baori,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,030011, Chodhari,4,1,3,0,0,0,4,1,3
C0116,28,000,000000,ANDHRA PRADESH,030015, Dhodia,5,3,2,0,0,0,5,3,2
C0116,28,000,000000,ANDHRA PRADESH,030035, Kokna/Kokni/Kukna,211,103,108,0,0,0,211,103,108
C0116,28,000,000000,ANDHRA PRADESH,030049, Mawchi,4,3,1,0,0,0,4,3,1
C0116,28,000,000000,ANDHRA PRADESH,030066, Paradhi,4002,1981,2021,0,0,0,4002,1981,2021
C0116,28,000,000000,ANDHRA PRADESH,030070, Rathi,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,030078, Wagdi,14,7,7,0,0,0,14,7,7
C0116,28,000,000000,ANDHRA PRADESH,030999,30 Others,167,82,85,0,0,0,167,82,85
C0116,28,000,000000,ANDHRA PRADESH,031000,31 BHOTIA ,69,53,16,0,0,0,69,53,16
C0116,28,000,000000,ANDHRA PRADESH,031001, Bhotia,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,031999,31 Others,65,51,14,0,0,0,65,51,14
C0116,28,000,000000,ANDHRA PRADESH,032000,32 BHUMIJ ,8,2,6,0,0,0,8,2,6
C0116,28,000,000000,ANDHRA PRADESH,032999,32 Others,8,2,6,0,0,0,8,2,6
C0116,28,000,000000,ANDHRA PRADESH,034000,34 CHAKHESANG ,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,034001, Chakhesang,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,035000,35 CHAKRU/CHOKRI ,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,035001, Chakru/Chokri,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,036000,36 CHANG ,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,036001, Chang,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,037000,37 COORGI/KODAGU ,53,28,25,0,0,0,53,28,25
C0116,28,000,000000,ANDHRA PRADESH,037001, Coorgi/Kodagu,53,28,25,0,0,0,53,28,25
C0116,28,000,000000,ANDHRA PRADESH,038000,38 DEORI ,6,2,4,0,0,0,6,2,4
C0116,28,000,000000,ANDHRA PRADESH,038001, Deori,6,2,4,0,0,0,6,2,4
C0116,28,000,000000,ANDHRA PRADESH,039000,39 DIMASA ,17,13,4,0,0,0,17,13,4
C0116,28,000,000000,ANDHRA PRADESH,039002, Dimasa,3,3,0,0,0,0,3,3,0
C0116,28,000,000000,ANDHRA PRADESH,039999,39 Others,14,10,4,0,0,0,14,10,4
